Student_ID,DOA,DOB,Department_Choices,Department_Admission
20131143,7/1/2013,2/5/1996,IDEPT7783,IDEPT7783
20131151,7/1/2013,7/31/1995,IDEPT6347,IDEPT6347
20131171,7/1/2013,9/5/1995,IDEPT1836,IDEPT1836
20131176,7/1/2013,1/12/1996,IDEPT8473,IDEPT8473
20131177,7/1/2013,7/30/1995,IDEPT5528,IDEPT5528
20131184,7/1/2013,7/7/1995,IDEPT5109,IDEPT5109
20131189,7/1/2013,2/19/1996,IDEPT8473,IDEPT8473
20131191,7/1/2013,11/17/1995,IDEPT3115,IDEPT3115
20131208,7/1/2013,5/27/1996,IDEPT6347,IDEPT6347
20131220,7/1/2013,11/9/1995,IDEPT2601,IDEPT2601
20131231,7/1/2013,1/7/1996,IDEPT2425,IDEPT2425
20131244,7/1/2013,3/14/1996,IDEPT1825,IDEPT1825
20131246,7/1/2013,7/11/1995,IDEPT5564,IDEPT5564
20131265,7/1/2013,11/24/1995,IDEPT6347,IDEPT6347
20131278,7/1/2013,12/30/1995,IDEPT5127,IDEPT5127
20131303,7/1/2013,2/8/1996,IDEPT5109,IDEPT5109
20131314,7/1/2013,6/7/1996,IDEPT2054,IDEPT2054
20131331,7/1/2013,12/3/1995,IDEPT2054,IDEPT2054
20131364,7/1/2013,7/3/1996,IDEPT5881,IDEPT9999
20131384,7/1/2013,6/3/1996,IDEPT1533,IDEPT1533
20131407,7/1/2013,1/8/1996,IDEPT1677,IDEPT1677
20131420,7/1/2013,11/5/1995,IDEPT3115,IDEPT3115
20131433,7/1/2013,9/2/1995,IDEPT3115,IDEPT3115
20131438,7/1/2013,12/8/1995,IDEPT8825,IDEPT8825
20131443,7/1/2013,8/6/1995,IDEPT3778,IDEPT3778
20131446,7/1/2013,3/16/1996,IDEPT2601,IDEPT2601
20131477,7/1/2013,5/23/1996,IDEPT3868,IDEPT3868
20131501,7/1/2013,8/21/1995,IDEPT4938,IDEPT4938
20131506,7/1/2013,12/16/1995,IDEPT7626,IDEPT7626
20131526,7/1/2013,12/1/1995,IDEPT3868,IDEPT3868
20131529,7/1/2013,7/26/1995,IDEPT1825,IDEPT1825
20131535,7/1/2013,11/17/1995,IDEPT1615,IDEPT1615
20131582,7/1/2013,11/9/1995,IDEPT7783,IDEPT7783
20131603,7/1/2013,5/10/1996,IDEPT1537,IDEPT1537
20131618,7/1/2013,12/1/1995,IDEPT2601,IDEPT2601
20131649,7/1/2013,3/23/1996,IDEPT8379,IDEPT8379
20131675,7/1/2013,5/1/1996,IDEPT1615,IDEPT1615
20131703,7/1/2013,3/6/1996,IDEPT1142,IDEPT1142
20131753,7/1/2013,1/15/1996,IDEPT8825,IDEPT8825
20131754,7/1/2013,6/23/1996,IDEPT7783,IDEPT7783
20131764,7/1/2013,9/8/1995,IDEPT8473,IDEPT8473
20131767,7/1/2013,12/7/1995,IDEPT3062,IDEPT3062
20131800,7/1/2013,6/24/1996,IDEPT6347,IDEPT6347
20131804,7/1/2013,1/20/1996,IDEPT1836,IDEPT1836
20131811,7/1/2013,10/27/1995,IDEPT8379,IDEPT8379
20131817,7/1/2013,4/22/1996,IDEPT4308,IDEPT4308
20131823,7/1/2013,11/26/1995,IDEPT5881,IDEPT5881
20131826,7/1/2013,7/10/1995,IDEPT1096,IDEPT1096
20131830,7/1/2013,5/3/1996,IDEPT8473,IDEPT8473
20131834,7/1/2013,12/18/1995,IDEPT6347,IDEPT6347
20131850,7/1/2013,6/20/1996,IDEPT2601,IDEPT2601
20131851,7/1/2013,10/22/1995,IDEPT7626,IDEPT7626
20131862,7/1/2013,8/3/1995,IDEPT8379,IDEPT8379
20131872,7/1/2013,5/7/1996,IDEPT3778,IDEPT3778
20131874,7/1/2013,11/28/1995,IDEPT1423,IDEPT1423
20131889,7/1/2013,1/17/1996,IDEPT5127,IDEPT5127
20131931,7/1/2013,2/5/1996,IDEPT4670,IDEPT4670
20131936,7/1/2013,10/23/1995,IDEPT8598,IDEPT8598
20131943,7/1/2013,1/2/1996,IDEPT7626,IDEPT7626
20131946,7/1/2013,2/24/1996,IDEPT3062,IDEPT3062
20131949,7/1/2013,10/1/1995,IDEPT8313,IDEPT8313
20131978,7/1/2013,4/18/1996,IDEPT4670,IDEPT4670
20131983,7/1/2013,8/24/1995,IDEPT1677,IDEPT1677
20131998,7/1/2013,11/16/1995,IDEPT8825,IDEPT8825
20132012,7/1/2013,9/21/1995,IDEPT1836,IDEPT1836
20132013,7/1/2013,10/27/1995,IDEPT8598,IDEPT8598
20132032,7/1/2013,7/13/1995,IDEPT8313,IDEPT8313
20132095,7/1/2013,8/3/1995,IDEPT5528,IDEPT5528
20132136,7/1/2013,9/24/1995,IDEPT1677,IDEPT1677
20132137,7/1/2013,5/31/1996,IDEPT8313,IDEPT8313
20132171,7/1/2013,11/27/1995,IDEPT3115,IDEPT3115
20132193,7/1/2013,11/5/1995,IDEPT4055,IDEPT4055
20132211,7/1/2013,7/5/1996,IDEPT5127,IDEPT5127
20132217,7/1/2013,5/19/1996,IDEPT8473,IDEPT8473
20132222,7/1/2013,8/12/1995,IDEPT3778,IDEPT3778
20132245,7/1/2013,9/12/1995,IDEPT2054,IDEPT2054
20132258,7/1/2013,4/9/1996,IDEPT3115,IDEPT3115
20132300,7/1/2013,1/19/1996,IDEPT2425,IDEPT2425
20132304,7/1/2013,8/6/1995,IDEPT8379,IDEPT8379
20132356,7/1/2013,7/8/1995,IDEPT3868,IDEPT3868
20132360,7/1/2013,2/28/1996,IDEPT8313,IDEPT8313
20132369,7/1/2013,10/21/1995,IDEPT8313,IDEPT8313
20132371,7/1/2013,6/17/1996,IDEPT6347,IDEPT6347
20132382,7/1/2013,6/23/1996,IDEPT4670,IDEPT4670
20132388,7/1/2013,4/18/1996,IDEPT3115,IDEPT3115
20132422,7/1/2013,8/11/1995,IDEPT8473,IDEPT8473
20132424,7/1/2013,5/18/1996,IDEPT6347,IDEPT6347
20132440,7/1/2013,5/8/1996,IDEPT8598,IDEPT8598
20132511,7/1/2013,7/27/1995,IDEPT1378,IDEPT1378
20132513,7/1/2013,6/6/1996,IDEPT3062,IDEPT3062
20132530,7/1/2013,10/14/1995,IDEPT1836,IDEPT1836
20132536,7/1/2013,12/6/1995,IDEPT5127,IDEPT5127
20132556,7/1/2013,2/27/1996,IDEPT4132,IDEPT4132
20132572,7/1/2013,3/14/1996,IDEPT3868,IDEPT3868
20132579,7/1/2013,8/20/1995,IDEPT1677,IDEPT1677
20132626,7/1/2013,4/20/1996,IDEPT2054,IDEPT2054
20132627,7/1/2013,8/24/1995,IDEPT8379,IDEPT8379
20132638,7/1/2013,1/27/1996,IDEPT2357,IDEPT2357
20132654,7/1/2013,11/10/1995,IDEPT1367,IDEPT1367
20132664,7/1/2013,11/25/1995,IDEPT2425,IDEPT2425
20132672,7/1/2013,3/29/1996,IDEPT4132,IDEPT4132
20132704,7/1/2013,4/18/1996,IDEPT7783,IDEPT7783
20132710,7/1/2013,6/20/1996,IDEPT8473,IDEPT8473
20132735,7/1/2013,11/19/1995,IDEPT1677,IDEPT1677
20132741,7/1/2013,9/28/1995,IDEPT1388,IDEPT1388
20132743,7/1/2013,7/2/1996,IDEPT1836,IDEPT1836
20132744,7/1/2013,7/28/1995,IDEPT8598,IDEPT8598
20132766,7/1/2013,4/13/1996,IDEPT1378,IDEPT1378
20132775,7/1/2013,8/31/1995,IDEPT1367,IDEPT1367
20132777,7/1/2013,11/4/1995,IDEPT8313,IDEPT8313
20132800,7/1/2013,2/5/1996,IDEPT5528,IDEPT5528
20132816,7/1/2013,8/16/1995,IDEPT8825,IDEPT8825
20132830,7/1/2013,12/30/1995,IDEPT1423,IDEPT1423
20132838,7/1/2013,8/29/1995,IDEPT3062,IDEPT3062
20132839,7/1/2013,9/9/1995,IDEPT8313,IDEPT8313
20132852,7/1/2013,2/28/1996,IDEPT3778,IDEPT3778
20132856,7/1/2013,4/19/1996,IDEPT4132,IDEPT4132
20132880,7/1/2013,12/10/1995,IDEPT5881,IDEPT5881
20132884,7/1/2013,8/2/1995,IDEPT2425,IDEPT2425
20132894,7/1/2013,2/19/1996,IDEPT4308,IDEPT4308
20132910,7/1/2013,5/5/1996,IDEPT3115,IDEPT3115
20132911,7/1/2013,11/30/1995,IDEPT1533,IDEPT1533
20132913,7/1/2013,11/27/1995,IDEPT4132,IDEPT4132
20132917,7/1/2013,2/12/1996,IDEPT5109,IDEPT5109
20132928,7/1/2013,11/25/1995,IDEPT8379,IDEPT8379
20132939,7/1/2013,9/11/1995,IDEPT4308,IDEPT4308
20132952,7/1/2013,5/12/1996,IDEPT1677,IDEPT1677
20132992,7/1/2013,6/4/1996,IDEPT4132,IDEPT4132
20132995,7/1/2013,1/11/1996,IDEPT5127,IDEPT5127
20133005,7/1/2013,4/18/1996,IDEPT8598,IDEPT8598
20133006,7/1/2013,8/9/1995,IDEPT2425,IDEPT2425
20133032,7/1/2013,12/17/1995,IDEPT1142,IDEPT1142
20133050,7/1/2013,7/13/1995,IDEPT8598,IDEPT8598
20133068,7/1/2013,10/25/1995,IDEPT2054,IDEPT2054
20133084,7/1/2013,4/23/1996,IDEPT8473,IDEPT8473
20133095,7/1/2013,3/2/1996,IDEPT1096,IDEPT1096
20133098,7/1/2013,11/7/1995,IDEPT3778,IDEPT3778
20133106,7/1/2013,7/26/1995,IDEPT2425,IDEPT2425
20133111,7/1/2013,11/7/1995,IDEPT4670,IDEPT4670
20133120,7/1/2013,7/21/1995,IDEPT7005,IDEPT7005
20133121,7/1/2013,12/8/1995,IDEPT4938,IDEPT4938
20133123,7/1/2013,7/7/1995,IDEPT1537,IDEPT1537
20133184,7/1/2013,1/16/1996,IDEPT7626,IDEPT7626
20133204,7/1/2013,6/7/1996,IDEPT1836,IDEPT1836
20133211,7/1/2013,7/22/1995,IDEPT4670,IDEPT4670
20133222,7/1/2013,9/13/1995,IDEPT2425,IDEPT2425
20133223,7/1/2013,4/24/1996,IDEPT1388,IDEPT1388
20133226,7/1/2013,1/16/1996,IDEPT1378,IDEPT1378
20133235,7/1/2013,9/26/1995,IDEPT8598,IDEPT8598
20133262,7/1/2013,5/2/1996,IDEPT5528,IDEPT5528
20133276,7/1/2013,3/12/1996,IDEPT3062,IDEPT3062
20133282,7/1/2013,3/29/1996,IDEPT2054,IDEPT2054
20133286,7/1/2013,10/20/1995,IDEPT2357,IDEPT2357
20133306,7/1/2013,3/16/1996,IDEPT5109,IDEPT5109
20133308,7/1/2013,6/1/1996,IDEPT8473,IDEPT8473
